invoice_id,date,hour,amount,employee,payment,discount_pct,is_fraud,fraud_level,is_cash,off_hours,amount_zscore,anomaly_score,flagged
1695,2025-04-15,14,249.77,E3,cash,5,0,normal,1,0,-0.11433400635461888,1,0
9016,2025-07-31,13,699.99,E2,cash,30,1,medium,1,0,1.6332305239201992,-1,1
1030,2025-01-21,16,365.61,E3,cash,0,0,normal,1,0,0.41221128468887336,1,0
1599,2025-01-16,10,183.1,E3,cash,10,0,normal,1,0,-0.41737936679893545,1,0
1096,2025-07-21,18,352.44,E1,cash,0,0,normal,1,0,1.0944995849461925,1,0
1244,2025-06-01,11,382.83,E1,card,5,0,normal,0,0,1.4244851277591337,1,0
1558,2025-02-24,12,200.84,E3,card,0,0,normal,0,0,-0.33674302820163265,1,0
1352,2025-01-09,17,206.71,E3,card,0,0,normal,0,0,-0.3100612183050054,1,0
1464,2025-05-08,16,342.6,E2,card,0,0,normal,0,0,0.10950272264728098,1,0
1543,2025-01-08,20,323.19,E3,card,0,0,normal,0,0,0.2193931627442519,1,0
1447,2025-08-21,14,321.66,E1,card,0,0,normal,0,0,0.760279281958949,1,0
1254,2025-03-03,14,444.03,E3,card,0,0,normal,0,0,0.7686657194577843,1,0
1250,2025-08-04,11,296.63,E2,cash,0,0,normal,1,0,-0.08648979819693989,1,0
1065,2025-01-09,11,315.66,E3,cash,0,0,normal,1,0,0.18516590064517144,1,0
1668,2025-06-20,21,252.68,E1,card,5,0,normal,0,0,0.011269649078504794,1,0
1215,2025-01-30,10,160.42,E1,card,0,0,normal,0,0,-0.9905225911295233,1,0
1039,2025-02-28,16,201.9,E2,card,5,0,normal,0,0,-0.4903699700388592,1,0
1192,2025-08-19,21,354.71,E1,cash,5,0,normal,1,0,1.119148060832516,1,0
1086,2025-02-23,21,227.94,E1,cash,10,0,normal,1,0,-0.25736616300415965,1,0
1493,2025-08-09,14,272.64,E1,card,0,0,normal,0,0,0.2280025031274124,1,0
1670,2025-01-12,16,265.66,E2,card,0,0,normal,0,0,-0.2185300063880539,1,0
1196,2025-01-29,11,286.25,E1,card,0,0,normal,0,0,0.3757847748511418,1,0
1209,2025-05-14,12,129.29,E3,card,0,0,normal,0,0,-0.6619701999399085,1,0
1212,2025-04-18,13,116.19,E1,card,0,0,normal,0,0,-1.4707878283330902,1,0
1738,2025-03-25,17,397.5,E2,card,10,0,normal,0,0,0.34356818695765107,1,0
1275,2025-08-13,10,181.63,E3,cash,0,0,normal,1,0,-0.4240611829059273,1,0
1120,2025-02-10,10,195.58,E3,cash,0,0,normal,1,0,-0.36065211168651495,1,0
1292,2025-02-07,12,368.52,E1,cash,5,0,normal,1,0,1.2691020044405028,1,0
1139,2025-02-02,16,255.73,E2,card,0,0,normal,0,0,-0.2608664373644106,1,0
1291,2025-05-25,16,111.08,E3,card,0,0,normal,0,0,-0.7447429015101951,1,0
9036,2025-01-11,21,455.06,E2,cash,15,1,soft,1,0,0.5889745280451723,-1,1
1063,2025-03-01,13,325.25,E1,card,0,0,normal,0,0,0.7992607922813726,1,0
1618,2025-03-10,21,407.43,E1,cash,0,0,normal,1,0,1.691600769522818,1,0
1066,2025-03-31,18,230.37,E2,card,0,0,normal,0,0,-0.36898848062326284,1,0
1533,2025-02-18,19,340.17,E3,card,0,0,normal,0,0,0.29657495695970865,1,0
1518,2025-03-07,12,259.94,E3,card,0,0,normal,0,0,-0.06810674798175709,1,0
1334,2025-05-31,13,376.41,E2,card,0,0,normal,0,0,0.2536512353673833,1,0
1328,2025-05-09,21,235.29,E3,cash,10,0,normal,1,0,-0.1801521677350555,1,0
1239,2025-06-14,17,299.73,E2,cash,0,0,normal,1,0,-0.07327298691529777,1,0
1417,2025-07-01,18,279.26,E2,card,5,0,normal,0,0,-0.16054657624923738,1,0
1651,2025-01-24,11,337.85,E1,cash,0,0,normal,1,0,0.9360761209896012,1,0
1650,2025-01-16,10,238.86,E2,cash,0,0,normal,1,0,-0.33279147166160444,1,0
1067,2025-02-22,10,339.63,E1,cash,0,0,normal,1,0,0.9554040007594935,1,0
1405,2025-07-23,14,246.88,E2,card,0,0,normal,0,0,-0.2985983018297435,1,0
1630,2025-02-08,21,188.18,E2,cash,5,0,normal,1,0,-0.5488650186789007,1,0
1477,2025-06-24,15,192.13,E1,cash,0,0,normal,1,0,-0.6462040138804818,1,0
1023,2025-03-29,21,243.18,E2,cash,0,0,normal,1,0,-0.31437320561750975,1,0
1311,2025-07-06,19,101.88,E3,cash,0,0,normal,1,0,-0.7865610703430691,1,0
1621,2025-08-26,10,142.58,E1,card,0,0,normal,0,0,-1.1842357232053005,1,0
1545,2025-03-01,21,202.25,E2,cash,0,0,normal,1,0,-0.4888777494102867,1,0
1286,2025-03-09,11,335.71,E1,cash,0,0,normal,1,0,0.9128392318280445,1,0
1722,2025-05-31,13,142.62,E3,card,0,0,normal,0,0,-0.6013793096635812,1,0
1698,2025-02-27,16,277.21,E3,card,0,0,normal,0,0,0.010393227642561802,1,0
1557,2025-04-09,15,209.49,E3,cash,0,0,normal,1,0,-0.29742485859246304,1,0
1512,2025-07-23,14,237.08,E2,cash,0,0,normal,1,0,-0.34038047942977306,1,0
1659,2025-06-01,12,201.17,E2,cash,5,0,normal,1,0,-0.4934823159213104,1,0
1431,2025-02-17,18,275.03,E1,card,0,0,normal,0,0,0.2539539821442905,1,0
1211,2025-01-28,14,304.55,E1,cash,0,0,normal,1,0,0.5744927522607117,1,0
1361,2025-02-23,17,260.85,E2,cash,5,0,normal,1,0,-0.2390373813121501,1,0
1549,2025-04-13,17,27.83,E1,card,0,0,normal,0,0,-2.430232466798095,1,0
1078,2025-07-25,17,275.83,E1,cash,0,0,normal,1,0,0.262640669681321,1,0
9026,2025-06-06,17,730.25,E2,cash,30,1,medium,1,0,1.7622436559790662,-1,1
9006,2025-08-05,2,1003.86,E2,cash,40,1,hard,1,1,2.928776473646833,-1,1
1589,2025-02-03,18,373.69,E3,card,0,0,normal,0,0,0.4489385460116583,1,0
9027,2025-02-23,12,592.26,E2,cash,30,1,medium,1,0,1.1739250144455873,-1,1
1368,2025-07-19,15,245.35,E3,card,0,0,normal,0,0,-0.1344249092069345,1,0
1137,2025-06-12,10,307.42,E1,cash,0,0,normal,1,0,0.6056562437998083,1,0
1316,2025-05-27,18,171.34,E3,cash,0,0,normal,1,0,-0.47083389565487005,1,0
1294,2025-03-10,20,170.06,E1,card,0,0,normal,0,0,-0.8858480063083072,1,0
1155,2025-08-04,10,194.65,E3,cash,10,0,normal,1,0,-0.3648793831011425,1,0
1750,2025-05-27,18,390.74,E3,cash,0,0,normal,1,0,0.5264385219464955,1,0
1462,2025-06-10,15,312.34,E2,card,5,0,normal,0,0,-0.019510409411586317,1,0
1326,2025-03-23,17,425.59,E2,cash,0,0,normal,1,0,0.46332955111936863,1,0
1049,2025-02-20,15,5.88,E3,card,0,0,normal,0,0,-1.2229245712078416,1,0
1796,2025-08-24,11,197.49,E3,cash,0,0,normal,1,0,-0.3519702962005596,1,0
1658,2025-03-25,16,250.9,E3,card,0,0,normal,0,0,-0.1091976443131898,1,0
1569,2025-04-30,15,281.64,E3,card,5,0,normal,0,0,0.030529585026217484,1,0
1494,2025-06-19,20,322.86,E1,cash,0,0,normal,1,0,0.7733093132644945,1,0
1208,2025-07-04,19,235.45,E3,card,0,0,normal,0,0,-0.1794248952336142,1,0
9035,2025-06-04,19,499.48,E2,cash,15,1,soft,1,0,0.7783586432485721,1,0
1033,2025-02-27,21,373.12,E1,cash,0,0,normal,1,0,1.3190504577784277,1,0
1031,2025-06-10,12,312.01,E2,card,10,0,normal,0,0,-0.02091736028995459,1,0
1673,2025-06-10,18,170.76,E1,cash,0,0,normal,1,0,-0.8782471547134058,1,0
1457,2025-04-26,17,227.16,E3,card,0,0,normal,0,0,-0.21710670171454088,1,0
1482,2025-06-04,17,210.87,E3,card,10,0,normal,0,0,-0.2911521332675319,1,0
1759,2025-03-24,14,226.97,E2,card,0,0,normal,0,0,-0.383484338157967,1,0
1429,2025-07-16,17,150.1,E2,card,5,0,normal,0,0,-0.7112186230675874,1,0
1453,2025-04-05,18,287.98,E2,cash,0,0,normal,1,0,-0.12336896516023128,1,0
1109,2025-07-27,12,96.21,E2,card,0,0,normal,0,0,-0.9409779649926485,1,0
1072,2025-07-07,12,247.82,E1,card,0,0,normal,0,0,-0.04150197770895488,1,0
1077,2025-02-04,19,231.93,E2,cash,0,0,normal,1,0,-0.3623374401073397,1,0
1620,2025-04-04,14,291.18,E2,card,5,0,normal,0,0,-0.10972580512756858,1,0
1534,2025-06-29,20,138.57,E3,card,0,0,normal,0,0,-0.6197883948563138,1,0
1666,2025-07-08,16,238.67,E3,cash,0,0,normal,1,0,-0.1647885361421083,1,0
1198,2025-01-13,20,145.31,E1,cash,0,0,normal,1,0,-1.1545924019851843,1,0
1784,2025-05-13,17,170.89,E3,cash,0,0,normal,1,0,-0.47287934956517375,1,0
1748,2025-07-08,18,153.59,E2,card,5,0,normal,0,0,-0.6963390516569645,1,0
