invoice_id,date,hour,amount,employee,payment,discount_pct,is_fraud,fraud_level
1695,2025-04-15,14,249.77,E3,cash,5,0,normal
9016,2025-07-31,13,699.99,E2,cash,30,1,medium
1030,2025-01-21,16,365.61,E3,cash,0,0,normal
1599,2025-01-16,10,183.1,E3,cash,10,0,normal
1096,2025-07-21,18,352.44,E1,cash,0,0,normal
1244,2025-06-01,11,382.83,E1,card,5,0,normal
1558,2025-02-24,12,200.84,E3,card,0,0,normal
1352,2025-01-09,17,206.71,E3,card,0,0,normal
1464,2025-05-08,16,342.6,E2,card,0,0,normal
1543,2025-01-08,20,323.19,E3,card,0,0,normal
1447,2025-08-21,14,321.66,E1,card,0,0,normal
1254,2025-03-03,14,444.03,E3,card,0,0,normal
1250,2025-08-04,11,296.63,E2,cash,0,0,normal
1065,2025-01-09,11,315.66,E3,cash,0,0,normal
1668,2025-06-20,21,252.68,E1,card,5,0,normal
1215,2025-01-30,10,160.42,E1,card,0,0,normal
1039,2025-02-28,16,201.9,E2,card,5,0,normal
1192,2025-08-19,21,354.71,E1,cash,5,0,normal
1086,2025-02-23,21,227.94,E1,cash,10,0,normal
1493,2025-08-09,14,272.64,E1,card,0,0,normal
1670,2025-01-12,16,265.66,E2,card,0,0,normal
1196,2025-01-29,11,286.25,E1,card,0,0,normal
1209,2025-05-14,12,129.29,E3,card,0,0,normal
1212,2025-04-18,13,116.19,E1,card,0,0,normal
1738,2025-03-25,17,397.5,E2,card,10,0,normal
1275,2025-08-13,10,181.63,E3,cash,0,0,normal
1120,2025-02-10,10,195.58,E3,cash,0,0,normal
1292,2025-02-07,12,368.52,E1,cash,5,0,normal
1139,2025-02-02,16,255.73,E2,card,0,0,normal
1291,2025-05-25,16,111.08,E3,card,0,0,normal
9036,2025-01-11,21,455.06,E2,cash,15,1,soft
1063,2025-03-01,13,325.25,E1,card,0,0,normal
1618,2025-03-10,21,407.43,E1,cash,0,0,normal
1066,2025-03-31,18,230.37,E2,card,0,0,normal
1533,2025-02-18,19,340.17,E3,card,0,0,normal
1518,2025-03-07,12,259.94,E3,card,0,0,normal
1334,2025-05-31,13,376.41,E2,card,0,0,normal
